DATE,TRANSFER_ORDER,TO_LINE,TO_TIME,DELIVERY_NO,TIME_PICK_COMPLETED,INVOICE_NUMBER,SKU,QTY,CUSTOMER,ADDRESS,STORAGE_BIN,,,,,,,,,,,
2-Jul,439955,2,9:11 AM,6414149053,9:25 AM,11358,AXB4BW31B5,5,20004055,HCM,E06-04-02,,,,,,,,,,,
2-Jul,439955,3,9:11 AM,6414149053,9:25 AM,11358,AA9N21566,1,20004055,HCM,E07-02-02,,,,,,,,,,,
2-Jul,439955,4,9:11 AM,6414149053,9:25 AM,11358,AA9N21567,2,20004055,HCM,E07-02-02,,,,,,,,,,,
2-Jul,439955,5,9:11 AM,6414149053,9:25 AM,11358,AZB4BD5,5,20004055,HCM,F05-04-05,,,,,,,,,,,
2-Jul,439955,6,9:11 AM,6414149053,9:25 AM,11358,AZB4BD3,10,20004055,HCM,F09-03-02,,,,,,,,,,,
2-Jul,439956,1,9:11 AM,6414149054,9:25 AM,11359,AWHT20_GY,10,20004055,HCM,B07-07-01,,,,,,,,,,,
2-Jul,439957,1,9:12 AM,6414149055,9:25 AM,11360,AEZ9R34440,12,20004055,HCM,D08-01-04,,,,,,,,,,,
2-Jul,439957,2,9:12 AM,6414149055,9:25 AM,11360,AEZ9R36263,12,20004055,HCM,D12-02-03,,,,,,,,,,,
2-Jul,439957,3,9:12 AM,6414149055,9:25 AM,11360,AEZ9R34425,12,20004055,HCM,J01-02-03,,,,,,,,,,,
2-Jul,439958,4,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34216,60,20004055,HCM,A06-06-01,,,,,,,,,,,
2-Jul,439958,5,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34125,61,20004055,HCM,B04-06-01,,,,,,,,,,,
2-Jul,439958,6,9:12 AM,6414149055,9:25 AM,11360,AEZ9D34620,60,20004055,HCM,B04-06-02,,,,,,,,,,,
2-Jul,439958,7,9:12 AM,6414149055,9:25 AM,11360,AEZ9F34125,83,20004055,HCM,B12-05-02,,,,,,,,,,,
